"FTE Staffing Report for 2013-14"

"District","School","Assignment Category","Educator Type","FTE Count"
,="East Hartford Middle School",="Special Education - Teachers and Instructors",="Certified",11.0
,="Governor William Pitkin School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Hockanum School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Joseph O. Goodwin School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Robert J. O'Brien School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Silver Lane School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Stevens Alternate High School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Sunset Ridge School Elementary Academy for Arts and World Languages",="Special Education - Teachers and Instructors",="Certified",1.0
,="Willowbrook Early Childhood",="Special Education - Teachers and Instructors",="Certified",4.0
,="Woodland School",="Special Education - Teachers and Instructors",="Certified",16.0
="East Haven School District",="Carbone School/East Haven Academy",="Special Education - Teachers and Instructors",="Certified",3.0
,="D. C. Moore School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Deer Run School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Dominick H. Ferrara School",="Special Education - Teachers and Instructors",="Certified",1.0
,="East Haven High School",="Special Education - Teachers and Instructors",="Certified",9.0
,="Grove J. Tuttle School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Joseph Melillo Middle School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Momauguin School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Overbrook Elementary School",="Special Education - Teachers and Instructors",="Certified",1.0
="East Lyme School District",="East Lyme High School",="Special Education - Teachers and Instructors",="Certified",12.9
,="East Lyme Middle School",="Special Education - Teachers and Instructors",="Certified",12.0
,="Flanders School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Integrated Preschool",="Special Education - Teachers and Instructors",="Certified",3.0
,="Lillie B. Haynes School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Niantic Center School",="Special Education - Teachers and Instructors",="Certified",2.0
="East Windsor School District",="Broad Brook Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0
,="East Windsor High School",="Special Education - Teachers and Instructors",="Certified",5.0
,="East Windsor Middle School",="Special Education - Teachers and Instructors",="Certified",7.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Arts at the Capitol Theater Magnet School (ACT)",="Special Education - Teachers and Instructors",="Certified",1.0
,="EastConn Special Education",="Special Education - Teachers and Instructors",="Certified",20.1
,="Quinebaug Middle College",="Special Education - Teachers and Instructors",="Certified",1.0
="Eastford School District",="Eastford Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0
="Easton School District",="Helen Keller Middle School",="Special Education - Teachers and Instructors",="Certified",4.2
,="Samuel Staples Elementary School",="Special Education - Teachers and Instructors",="Certified",7.2
="EdAdvance",="GFLC/ACCESS School",="Special Education - Teachers and Instructors",="Certified",1.0
="Ellington School District",="Center School",="Special Education - Teachers and Instructors",="Certified",4.6
,="Crystal Lake School",="Special Education - Teachers and Instructors",="Certified",1.0
,="Ellington High School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Ellington Middle School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Windermere Intermediate School",="Special Education - Teachers and Instructors",="Certified",3.4
,="Windermere School",="Special Education - Teachers and Instructors",="Certified",3.6
="Elm City College Preparatory School District",="Elm City College Preparatory School",="Special Education - Teachers and Instructors",="Certified",0.8
="Enfield School District",="Edgar H. Parkman School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Eli Whitney School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Enfield High School",="Special Education - Teachers and Instructors",="Certified",7.6
,="Enfield Street School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Enfield Transitional Learning Academy",="Special Education - Teachers and Instructors",="Certified",1.0
,="Enrico Fermi High School",="Special Education - Teachers and Instructors",="Certified",8.6
,="Hazardville Memorial School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Henry Barnard School",="Special Education - Teachers and Instructors",="Certified",3.0
,="John F. Kennedy Middle School",="Special Education - Teachers and Instructors",="Certified",11.6
,="Nathan Hale School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Prudence Crandall School",="Special Education - Teachers and Instructors",="Certified",4.0
="Essex School District",="Essex Elementary School",="Special Education - Teachers and Instructors",="Certified",10.0
="Explorations District",="Explorations",="Special Education - Teachers and Instructors",="Certified",2.0
="Fairfield School District",="Burr Elementary School",="Special Education - Teachers and Instructors",="Certified",4.1
,="Dwight Elementary School",="Special Education - Teachers and Instructors",="Certified",4.1
,="Early Childhood Center",="Special Education - Teachers and Instructors",="Certified",5.0
,="Fairfield Ludlowe High School",="Special Education - Teachers and Instructors",="Certified",10.0
,="Fairfield Warde High School",="Special Education - Teachers and Instructors",="Certified",11.6
,="Fairfield Woods Middle School",="Special Education - Teachers and Instructors",="Certified",9.1
,="Holland Hill School",="Special Education - Teachers and Instructors",="Certified",3.1
,="Jennings School",="Special Education - Teachers and Instructors",="Certified",4.0
,="McKinley School",="Special Education - Teachers and Instructors",="Certified",4.4
,="Mill Hill School",="Special Education - Teachers and Instructors",="Certified",4.0
,="North Stratfield School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Osborn Hill School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Riverfield School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Roger Ludlowe Middle School",="Special Education - Teachers and Instructors",="Certified",9.0
,="Sherman School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Stratfield School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Tomlinson Middle School",="Special Education - Teachers and Instructors",="Certified",8.1
="Farmington School District",="East Farms School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Farmington Collaborative PK",="Special Education - Teachers and Instructors",="Certified",2.0
,="Farmington High School",="Special Education - Teachers and Instructors",="Certified",10.9
,="Irving A. Robbins Middle School",="Special Education - Teachers and Instructors",="Certified",7.0
,="Noah Wallace School",="Special Education - Teachers and Instructors",="Certified",1.5
,="Union School",="Special Education - Teachers and Instructors",="Certified",2.5
,="West District School",="Special Education - Teachers and Instructors",="Certified",2.5
,="West Woods Upper Elementary School",="Special Education - Teachers and Instructors",="Certified",7.0
="Franklin School District",="Franklin Elementary School",="Special Education - Teachers and Instructors",="Certified",1.6
="Glastonbury School District",="Buttonball Lane School",="Special Education - Teachers and Instructors",="Certified",2.5
,="Eastbury School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Gideon Welles School",="Special Education - Teachers and Instructors",="Certified",4.2
,="Glastonbury High School",="Special Education - Teachers and Instructors",="Certified",17.9
,="Hebron Avenue School",="Special Education - Teachers and Instructors",="Certified",1.9
,="Hopewell School",="Special Education - Teachers and Instructors",="Certified",2.0
,="LINKS Academy",="Special Education - Teachers and Instructors",="Certified",2.0
,="Naubuc School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Nayaug Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Smith Middle School",="Special Education - Teachers and Instructors",="Certified",9.2
="Granby School District",="Frank M. Kearns Primary School",="Special Education - Teachers and Instructors",="Certified",5.8
,="Granby Memorial High School",="Special Education - Teachers and Instructors",="Certified",5.0
,="Granby Memorial Middle School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Kelly Lane Primary School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Wells Road Intermediate School",="Special Education - Teachers and Instructors",="Certified",3.0
="Greenwich School District",="Central Middle School",="Special Education - Teachers and Instructors",="Certified",6.8
,="Cos Cob School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Eastern Middle School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Glenville School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Greenwich High School",="Special Education - Teachers and Instructors",="Certified",29.9
,="Hamilton Avenue School",="Special Education - Teachers and Instructors",="Certified",8.0
,="International School At Dundee",="Special Education - Teachers and Instructors",="Certified",2.8
,="Julian Curtiss School",="Special Education - Teachers and Instructors",="Certified",3.0
,="New Lebanon School",="Special Education - Teachers and Instructors",="Certified",4.0
,="North Mianus School",="Special Education - Teachers and Instructors",="Certified",4.0
,="North Street School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Old Greenwich School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Parkway School",="Special Education - Teachers and Instructors",="Certified",4.5
,="Riverside School",="Special Education - Teachers and Instructors",="Certified",1.5
,="Western Middle School",="Special Education - Teachers and Instructors",="Certified",6.0
="Griswold School District",="Griswold Elementary School",="Special Education - Teachers and Instructors",="Certified",11.1
,="Griswold High School",="Special Education - Teachers and Instructors",="Certified",6.1
