"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
="Odyssey Community School District",="Odyssey Community School",="Special Education - Teachers and Instructors",="Certified",2.0,4.0,3.0,4.0,3.0
="Old Saybrook School District",="Kathleen E. Goodwin School",="Special Education - Teachers and Instructors",="Certified",10.7,10.2,10.4,10.6,9.0
,="Old Saybrook Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,9.0,9.0,8.0,8.0
,="Old Saybrook Senior High School",="Special Education - Teachers and Instructors",="Certified",5.0,4.0,5.0,6.0,6.0
="Orange School District",="Mary L. Tracy School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,2.8,2.8,3.0
,="Peck Place School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,2.0,2.0
,="Race Brook School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,4.0
,="Turkey Hill School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,1.0,2.0
="Oxford School District",="Great Oak School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,5.0,5.0
,="Oxford Center School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,5.0,6.0
,="Oxford High School",="Special Education - Teachers and Instructors",="Certified",5.8,5.8,5.8,5.8,2.0
,="Quaker Farms School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.9,5.0,4.5
="Plainfield School District",="Moosup Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,2.0,2.0,2.0
,="Plainfield Central School",="Special Education - Teachers and Instructors",="Certified",7.5,10.0,8.0,9.0,9.0
,="Plainfield High School",="Special Education - Teachers and Instructors",="Certified",10.0,10.0,9.0,9.0,10.0
,="Plainfield Memorial School",="Special Education - Teachers and Instructors",="Certified",6.5,6.0,6.0,6.0,5.0
,="Shepard Hill Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,7.0,6.0,6.0
="Plainville School District",="Frank T. Wheeler School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.7,4.2,5.0
,="Linden Street School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.7,6.2,8.0
,="Louis Toffolon School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.2,4.2,4.0
,="Middle School of Plainville",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.2,8.2,8.0
,="Plainville High School",="Special Education - Teachers and Instructors",="Certified",5.0,6.0,6.2,6.2,7.0
,="Prekindergarten Program",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,.
"Plymouth School District","Eli Terry Jr. Middle School","Special Education - Teachers and Instructors","Certified",5.0,5.0,5.0,5.0,5.0
,="Harry S. Fisher Elementary School",="Special Education - Teachers and Instructors",="Certified",3.8,4.8,3.8,4.0,3.0
,="Plymouth Center School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
,="Terryville High School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,6.0,5.0,5.0
="Pomfret School District",="Pomfret Community School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
="Portland School District",="Brownstone Intermediate School",="Special Education - Teachers and Instructors",="Certified",1.7,1.7,2.0,2.0,2.0
,="Gildersleeve School",="Special Education - Teachers and Instructors",="Certified",2.3,2.3,2.0,2.0,2.0
,="Portland High School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,3.0,3.0,3.0
,="Portland Middle School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,2.0,2.0,2.0
,="Valley View School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,2.0
="Preston School District",="Preston Plains School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.8,2.0
,="Preston Veterans' Memorial School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
="Putnam School District",="Helping Hands",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Putnam Elementary School",="Special Education - Teachers and Instructors",="Certified",5.6,7.3,9.0,8.0,8.0
,="Putnam High School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,4.0,4.0,4.0
,="Putnam Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.2,4.0,4.0,4.0
="Redding School District",="John Read Middle School",="Special Education - Teachers and Instructors",="Certified",7.9,8.8,8.2,8.2,8.0
,="Redding Elementary School",="Special Education - Teachers and Instructors",="Certified",7.6,7.6,8.6,7.6,5.4
="Regional School District 01",="Housatonic Valley Regional High School",="Special Education - Teachers and Instructors",="Certified",3.6,6.0,6.0,6.0,4.8
="Regional School District 04",="John Winthrop Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.0,5.0,5.0
,="Valley Regional High School",="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.0,5.0,6.0
="Regional School District 05",="Amity Middle School: Bethany",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,2.0,3.0,3.0
,="Amity Middle School: Orange",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,4.0,3.0,3.5
,="Amity Regional High School",="Special Education - Teachers and Instructors",="Certified",10.0,11.0,11.0,11.0,11.0
="Regional School District 06",="Goshen Center School",="Special Education - Teachers and Instructors",="Certified",2.0,2.5,2.5,1.4,2.0
,="James Morris School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.5,2.0
,="Wamogo Regional High School",="Special Education - Teachers and Instructors",="Certified",4.2,3.8,4.0,5.0,5.7
,="Warren Elementary School",="Special Education - Teachers and Instructors",="Certified",1.4,1.4,1.4,1.4,1.0
="Regional School District 07",="AIM",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Intensive Learning Program",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,.
,"Links","Special Education - Teachers and Instructors","Certified",1.0,1.0,1.0,1.0,1.0
,="Northwestern Regional High School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,4.1,5.3,3.9
,="Northwestern Regional Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="STEP",="Special Education - Teachers and Instructors",="Certified",0.6,0.7,0.4,0.4,0.5
,="FLEX",="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,1.0,1.0
="Regional School District 08",="RHAM High School",="Special Education - Teachers and Instructors",="Certified",11.2,13.4,13.8,12.2,14.0
,="RHAM Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,7.5,8.5,8.9,9.2
="Regional School District 09",="Joel Barlow High School",="Special Education - Teachers and Instructors",="Certified",6.6,7.4,7.4,8.7,7.4
="Regional School District 10",="Har-Bur Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,9.0,9.0,11.0,9.0
,="Harwinton Consolidated School",="Special Education - Teachers and Instructors",="Certified",6.5,6.0,6.0,5.0,3.4
,="Lake Garda Elementary School",="Special Education - Teachers and Instructors",="Certified",6.0,4.0,4.0,4.0,3.0
,="Lewis S. Mills High School",="Special Education - Teachers and Instructors",="Certified",7.4,7.9,8.4,8.4,7.5
="Regional School District 11",="Parish Hill High School",="Special Education - Teachers and Instructors",="Certified",5.6,5.0,5.0,5.0,5.0
="Regional School District 12",="Booth Free School",="Special Education - Teachers and Instructors",="Certified",1.5,1.0,1.0,1.0,2.0
,="Early Childhood Education Center",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,1.3,.,.
,"Shepaug Valley High School","Special Education - Teachers and Instructors","Certified",4.0,3.9,4.0,.,.
,"Shepaug Valley Middle School","Special Education - Teachers and Instructors","Certified",3.4,3.9,3.8,.,.
,"The Burnham School","Special Education - Teachers and Instructors","Certified",1.0,1.0,1.3,1.0,1.0
,="Washington Primary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.3,4.0,3.0
,="Shepaug Valley School",="Special Education - Teachers and Instructors",="Certified",.,.,.,7.5,8.5
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.4
="Regional School District 13",="Coginchaug Regional High School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.5,5.0,4.4
,="Francis E. Korn School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.0,1.8
,="Frank Ward Strong School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Frederick Brewster School",="Special Education - Teachers and Instructors",="Certified",4.5,3.6,3.6,3.6,3.4
,="John Lyman School",="Special Education - Teachers and Instructors",="Certified",1.5,1.6,1.6,1.6,1.6
,="Middlefield Memorial School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Middlesex Transition Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
="Regional School District 14",="Bethlehem Elementary School",="Special Education - Teachers and Instructors",="Certified",5.4,4.5,4.5,3.0,3.0
,="Integrated Star Preschool Program",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Mitchell Elementary School",="Special Education - Teachers and Instructors",="Certified",5.6,4.5,4.5,5.0,4.0
,="Nonnewaug High School",="Special Education - Teachers and Instructors",="Certified",4.0,6.0,6.0,6.0,5.8
,="Woodbury Middle School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,3.0,4.0,5.0
="Regional School District 15",="Gainfield Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,4.0,5.0
,="Long Meadow Elementary School",="Special Education - Teachers and Instructors",="Certified",9.0,9.0,9.5,8.0,7.0
,="Memorial Middle School",="Special Education - Teachers and Instructors",="Certified",4.8,4.8,4.0,4.0,4.0
,="Middlebury Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
,="Pomperaug Regional High School",="Special Education - Teachers and Instructors",="Certified",11.0,11.0,11.0,11.0,11.0
,="Pomperaug School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,5.0,5.0
,="Rochambeau Middle School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,4.0,5.0
="Regional School District 16",="Algonquin School",="Special Education - Teachers and Instructors",="Certified",5.0,4.0,4.0,3.0,3.0
,="Community School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.6,1.0
,="Laurel Ledge School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,3.4,3.0
,="Long River Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,="Woodland Regional High School",="Special Education - Teachers and Instructors",="Certified",4.8,4.8,4.6,3.6,4.3
="Regional School District 17",="Burr District Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.5,3.3,5.0,5.0
,="Haddam Elementary School",="Special Education - Teachers and Instructors",="Certified",1.5,2.5,2.3,2.0,2.0
,="Haddam-Killingworth High School",="Special Education - Teachers and Instructors",="Certified",7.0,7.2,6.0,7.0,7.0
,="Haddam-Killingworth Middle School",="Special Education - Teachers and Instructors",="Certified",9.0,9.2,6.0,8.0,8.0
,="Killingworth Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,2.2,2.0,2.0,2.0
="Regional School District 18",="Center School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,3.8,3.0,5.1
,="Lyme Consolidated School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.1
,="Lyme-Old Lyme High School",="Special Education - Teachers and Instructors",="Certified",4.5,4.5,4.1,5.1,5.2
,="Lyme-Old Lyme Middle School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,4.1,3.9,4.0
,="Mile Creek School",="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.0,6.0,3.6
="Regional School District 19",="E. O. Smith High School",="Special Education - Teachers and Instructors",="Certified",13.4,13.4,12.9,14.5,14.8
="Ridgefield School District",="Barlow Mountain Elementary School",="Special Education - Teachers and Instructors",="Certified",6.0,6.2,7.2,8.2,6.0
,="Branchville Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="East Ridge Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.6,6.0,6.6
,="Farmingville Elementary School",="Special Education - Teachers and Instructors",="Certified",1.5,1.7,1.7,2.0,2.0
,="Ridgebury Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,2.5,2.0,2.0,4.0
,="Ridgefield High School",="Special Education - Teachers and Instructors",="Certified",10.6,9.4,10.1,10.4,13.0
,="Scotland Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.8,2.8,2.8,3.0
,="Scotts Ridge Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,6.0,6.0
,="Veterans Park Elementary School",="Special Education - Teachers and Instructors",="Certified",2.6,2.6,1.8,1.8,2.0
,="Ridgefield Transition Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,0.2,.
"Rocky Hill School District","Albert D. Griswold Middle School","Special Education - Teachers and Instructors","Certified",6.0,6.0,6.0,6.0,6.0
,="Dr. Oran A. Moser School",="Special Education - Teachers and Instructors",="Certified",1.0,.,.,.,.
,"Myrtle H. Stevens School","Special Education - Teachers and Instructors","Certified",5.5,6.5,6.5,5.5,5.0
,="Rocky Hill High School",="Special Education - Teachers and Instructors",="Certified",6.5,6.5,6.5,6.0,6.0
,="West Hill School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,5.3,6.5
="Salem School District",="Salem Elementary School",="Special Education - Teachers and Instructors",="Certified",4.2,5.0,4.4,5.0,5.0
="Salisbury School District",="Salisbury Central School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="Scotland School District",="Scotland Elementary School",="Special Education - Teachers and Instructors",="Certified",2.9,3.0,3.0,3.0,2.0
="Seymour School District",="Anna L. Lopresti School",="Special Education - Teachers and Instructors",="Certified",3.0,2.5,.,.,.
,"Bungay School","Special Education - Teachers and Instructors","Certified",4.5,4.0,2.0,3.0,2.5
,="Paul E. Chatfield School",="Special Education - Teachers and Instructors",="Certified",4.5,4.5,6.0,.,.
,"Seymour High School","Special Education - Teachers and Instructors","Certified",5.0,4.0,4.0,3.0,4.0
,="Seymour Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,6.0,6.0,6.0
,="Chatfield-LoPresti School",="Special Education - Teachers and Instructors",="Certified",.,.,.,6.0,6.0
="Sharon School District",="Sharon Center School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.3,3.5,3.5
="Shelton School District",="Mohegan School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Booth Hill School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,1.0,2.5
,="Elizabeth Shelton School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,4.0,4.0
,="Intermediate School",="Special Education - Teachers and Instructors",="Certified",6.8,7.8,7.8,5.8,8.6
,="Long Hill School",="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.0,6.5,7.0
,="Perry Hill Elementary School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,9.0,8.0,9.0
,="Shelton High School",="Special Education - Teachers and Instructors",="Certified",9.6,9.6,10.6,10.6,11.6
,="Sunnyside School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.5,2.5
="Sherman School District",="Sherman School",="Special Education - Teachers and Instructors",="Certified",5.8,5.9,5.4,5.4,5.9
="Simsbury School District",="Central School",="Special Education - Teachers and Instructors",="Certified",3.7,4.7,4.7,5.1,4.6
,="Henry James Memorial School",="Special Education - Teachers and Instructors",="Certified",6.1,6.1,6.1,5.7,5.8
,="Latimer Lane School",="Special Education - Teachers and Instructors",="Certified",2.6,2.1,3.1,2.1,2.1
,="Simsbury High School",="Special Education - Teachers and Instructors",="Certified",11.2,11.2,11.2,12.4,13.1
,="Squadron Line School",="Special Education - Teachers and Instructors",="Certified",6.8,6.8,6.1,6.9,8.6
,="Tariffville School",="Special Education - Teachers and Instructors",="Certified",1.7,1.1,1.1,1.1,1.6
,="Tootin' Hills School",="Special Education - Teachers and Instructors",="Certified",4.6,5.1,4.8,3.8,4.1
="Somers School District",="Mabelle B. Avery Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Somers Elementary School",="Special Education - Teachers and Instructors",="Certified",7.8,7.8,7.8,7.5,6.5
,="Somers High School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,6.0
="South Windsor School District",="Pleasant Valley School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,2.0,2.0,2.0
,="Eli Terry School",="Special Education - Teachers and Instructors",="Certified",8.2,8.0,8.0,7.0,8.0
,="Orchard Hill School",="Special Education - Teachers and Instructors",="Certified",3.2,3.0,3.5,1.5,3.5
,="Philip R. Smith School",="Special Education - Teachers and Instructors",="Certified",2.2,2.0,2.0,2.0,2.0
,="South Windsor High School",="Special Education - Teachers and Instructors",="Certified",12.3,13.3,13.3,12.3,12.3
,="Timothy Edwards School",="Special Education - Teachers and Instructors",="Certified",10.7,12.7,11.7,11.7,11.7
,="Wapping Elementary School",="Special Education - Teachers and Instructors",="Certified",6.2,6.0,7.0,6.0,6.0
,="Project Worth Young Adult Academy",="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,1.0,1.0
="Southington School District",="John F. Kennedy Middle School",="Special Education - Teachers and Instructors",="Certified",10.0,11.0,11.0,11.0,11.5
,="Derynoski Elementary School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,6.0
,="Flanders Elementary School",="Special Education - Teachers and Instructors",="Certified",1.5,0.5,1.5,1.5,1.0
,="Hatton Elementary School",="Special Education - Teachers and Instructors",="Certified",8.0,7.0,8.9,8.9,7.9
,="Joseph A. Depaolo Middle School",="Special Education - Teachers and Instructors",="Certified",10.0,9.0,9.0,9.0,9.0
,="Plantsville Elementary School",="Special Education - Teachers and Instructors",="Certified",1.9,1.8,1.8,1.8,1.8
,="South End Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,1.5,1.5,1.5,2.0
,="Southington High School",="Special Education - Teachers and Instructors",="Certified",19.6,20.6,19.6,20.6,19.8
,="Strong Elementary School",="Special Education - Teachers and Instructors",="Certified",2.6,3.0,3.0,2.6,2.6
,="Thalberg Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.9,2.4
,="Urbin T. Kelley School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,2.0,2.0,2.0
,="Alta",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.8
="Sprague School District",="Sayles School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
="Stafford School District",="Stafford Elementary School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,7.0,6.0
,="Stafford High School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.0,5.0,5.0
,="Stafford Middle School",="Special Education - Teachers and Instructors",="Certified",5.0,4.6,4.8,5.0,5.0
,="Staffordville School",="Special Education - Teachers and Instructors",="Certified",2.0,3.6,3.0,3.0,2.0
,="West Stafford School",="Special Education - Teachers and Instructors",="Certified",2.2,2.5,2.0,2.0,2.0
="Stamford School District",="Cloonan School",="Special Education - Teachers and Instructors",="Certified",9.0,8.0,9.0,10.0,12.0
,="Davenport Ridge School",="Special Education - Teachers and Instructors",="Certified",4.0,6.0,8.0,7.0,3.5
,="Dolan School",="Special Education - Teachers and Instructors",="Certified",7.0,6.0,6.0,7.0,7.0
,="Hart School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Julia A. Stark School",="Special Education - Teachers and Instructors",="Certified",7.0,6.0,5.0,4.0,4.0
,="K. T. Murphy School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,5.0,4.0,4.0
,="Newfield School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,3.0,4.0
,="Northeast School",="Special Education - Teachers and Instructors",="Certified",5.0,4.0,5.0,5.0,6.0
,="Preschool Team",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,10.0,7.0
,="Rippowam Middle School",="Special Education - Teachers and Instructors",="Certified",10.0,9.0,7.0,7.0,10.0
,="Rogers International School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,4.0,5.0
,="Roxbury School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,6.0,6.0,6.0
,="Scofield Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,6.0,4.0,3.0,3.0
,="Springdale School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,6.0
,="Stamford High School",="Special Education - Teachers and Instructors",="Certified",12.0,13.4,14.0,13.2,16.0
,="Stillmeadow School",="Special Education - Teachers and Instructors",="Certified",8.0,8.5,9.5,8.5,8.5
,="The Academy of Information Technology",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,3.0,3.0,2.0
,="Toquam Magnet School",="Special Education - Teachers and Instructors",="Certified",5.0,4.0,3.0,3.0,3.0
,="Turn of River School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,6.0,7.0,8.0
,="Westhill High School",="Special Education - Teachers and Instructors",="Certified",14.0,13.4,14.4,13.4,13.0
,="Westover School",="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.0,4.0,2.0
,="Alternate Routes To Success",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,3.0
="Sterling School District",="Sterling Community School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,6.0
="Stonington School District",="Deans Mill School",="Special Education - Teachers and Instructors",="Certified",6.5,6.5,7.5,6.0,6.0
,="Mystic Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.5,6.0,6.0
,="Pawcatuck Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,6.0,6.0,6.0
,="Special Needs Preschool Program",="Special Education - Teachers and Instructors",="Certified",1.0,.,.,.,.
,"Stonington High School","Special Education - Teachers and Instructors","Certified",10.0,11.0,11.4,11.4,9.8
,="West Broad Street School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,4.0,2.0,1.0
,="West Vine Street School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,3.0
,="Stonington BOE Pre-School",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,.
,"Stonington HS PreK","Special Education - Teachers and Instructors","Certified",.,.,.,1.0,.
"Stratford School District","Center School","Special Education - Teachers and Instructors","Certified",.,.,.,.,3.0
,="Eli Whitney School",="Special Education - Teachers and Instructors",="Certified",2.8,2.8,3.8,1.8,3.0
,="Bunnell High School",="Special Education - Teachers and Instructors",="Certified",9.0,8.0,6.0,5.0,6.0
,="Chapel School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,4.0,3.0,3.0
,="David Wooster Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,3.5,5.5,5.5,4.0
,="Franklin School",="Special Education - Teachers and Instructors",="Certified",2.0,1.5,1.5,2.5,4.0
,="Harry B. Flood Middle School",="Special Education - Teachers and Instructors",="Certified",5.5,5.5,5.5,6.5,8.0
,="Lordship School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Nichols School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="STRIVE-Stratford",="Special Education - Teachers and Instructors",="Certified",1.8,1.8,1.8,1.8,.
,"Second Hill Lane School","Special Education - Teachers and Instructors","Certified",7.9,8.0,8.0,10.0,10.0
,="Stratford Academy - Johnson House",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
,="Stratford High School",="Special Education - Teachers and Instructors",="Certified",7.0,5.0,7.0,8.0,7.0
,="Wilcoxson School",="Special Education - Teachers and Instructors",="Certified",1.5,1.5,1.5,1.5,2.0
,="Honeyspot School",="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,1.0,2.0
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Suffield School District",="A. Ward Spaulding School",="Special Education - Teachers and Instructors",="Certified",5.5,5.0,5.5,6.0,6.5
,="McAlister Intermediate School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,5.0,3.0
,="Suffield High School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,4.5
,="Suffield Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.0,6.0,6.5
="The Gilbert School District",="The Gilbert School",="Special Education - Teachers and Instructors",="Certified",3.0,.,.,.,.
"Thomaston School District","Black Rock School","Special Education - Teachers and Instructors","Certified",3.0,4.0,3.2,4.0,4.0
,="Thomaston Center School",="Special Education - Teachers and Instructors",="Certified",3.0,3.5,4.0,3.0,3.0
,="Thomaston High School",="Special Education - Teachers and Instructors",="Certified",6.6,6.1,5.0,5.0,4.0
="Thompson School District",="Mary R. Fisher Elementary School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.5,2.8,2.8
,="Thompson Middle School",="Special Education - Teachers and Instructors",="Certified",3.0,4.8,3.6,3.6,3.4
,="Tourtellotte Memorial High School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
="Tolland School District",="Birch Grove Primary School",="Special Education - Teachers and Instructors",="Certified",7.3,5.8,6.5,6.0,7.0
,="Tolland High School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.8
,="Tolland Intermediate School",="Special Education - Teachers and Instructors",="Certified",8.8,7.6,7.8,7.8,7.0
,="Tolland Middle School",="Special Education - Teachers and Instructors",="Certified",7.0,8.0,9.0,8.0,7.5
="Torrington School District",="East School",="Special Education - Teachers and Instructors",="Certified",4.0,6.1,6.6,6.5,4.0
,="Forbes School",="Special Education - Teachers and Instructors",="Certified",4.1,4.1,4.0,4.0,4.0
,="Southwest School",="Special Education - Teachers and Instructors",="Certified",3.2,3.3,3.3,1.2,2.2
,="Torringford School",="Special Education - Teachers and Instructors",="Certified",5.0,4.2,6.3,6.2,5.2
,="Torrington High School",="Special Education - Teachers and Instructors",="Certified",8.2,8.1,9.2,10.4,11.5
,="Torrington Middle School",="Special Education - Teachers and Instructors",="Certified",10.7,12.7,13.3,12.5,13.5
,="Vogel-Wetmore School",="Special Education - Teachers and Instructors",="Certified",5.1,5.0,5.1,7.1,5.5
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.6
,="Vogel-Wetmore / Reach",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Trailblazers Academy District",="Trailblazers Academy",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.5,2.5,1.0
="Trumbull School District",="Booth Hill School",="Special Education - Teachers and Instructors",="Certified",3.4,3.4,3.4,2.4,3.1
,="Daniels Farm School",="Special Education - Teachers and Instructors",="Certified",3.2,3.4,2.9,2.9,2.6
,="Frenchtown Elementary School",="Special Education - Teachers and Instructors",="Certified",6.8,6.9,7.1,8.1,7.2
,="Hillcrest Middle School",="Special Education - Teachers and Instructors",="Certified",6.4,7.1,9.0,9.3,9.7
,="Jane Ryan School",="Special Education - Teachers and Instructors",="Certified",2.4,2.4,2.9,2.9,2.6
,="Madison Middle School",="Special Education - Teachers and Instructors",="Certified",9.4,9.1,8.1,9.8,9.7
,="Middlebrook School",="Special Education - Teachers and Instructors",="Certified",4.4,4.3,3.4,3.4,3.1
,="Tashua School",="Special Education - Teachers and Instructors",="Certified",3.4,3.4,3.4,3.4,4.1
,="Trumbull Early Childhood Education Center",="Special Education - Teachers and Instructors",="Certified",10.2,10.2,10.1,10.1,10.0
