"FTE Staffing Report for 2013-14"

"District","Assignment Category","Educator Type","FTE Count"
,="Instructional Specialists Who Support Teachers",="Certified",14.8
="East Lyme School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.5
,="Counselors  Social Workers  and School Psychologists",="Certified",15.5
,="General Education - Teachers and Instructors",="Certified",200.8
,="Special Education - Teachers and Instructors",="Certified",35.9
,="Library/Media - Specialists (Certified)",="Certified",5.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0
,="Instructional Specialists Who Support Teachers",="Certified",3.0
="East Windsor School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.1
,="Counselors  Social Workers  and School Psychologists",="Certified",8.0
,="General Education - Teachers and Instructors",="Certified",87.9
,="Special Education - Teachers and Instructors",="Certified",17.0
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0
,="Instructional Specialists Who Support Teachers",="Certified",6.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0
,="Counselors  Social Workers  and School Psychologists",="Certified",12.9
,="General Education - Teachers and Instructors",="Certified",28.3
,="Special Education - Teachers and Instructors",="Certified",22.1
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.6
,="Instructional Specialists Who Support Teachers",="Certified",4.5
="Eastford School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",0.8
,="Counselors  Social Workers  and School Psychologists",="Certified",0.5
,="General Education - Teachers and Instructors",="Certified",13.0
,="Special Education - Teachers and Instructors",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4
="Easton School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.4
,="Counselors  Social Workers  and School Psychologists",="Certified",4.8
,="General Education - Teachers and Instructors",="Certified",61.8
,="Special Education - Teachers and Instructors",="Certified",11.3
,="Library/Media - Specialists (Certified)",="Certified",2.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0
,="Instructional Specialists Who Support Teachers",="Certified",6.2
="EdAdvance",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",5.0
,="Special Education - Teachers and Instructors",="Certified",4.3
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0
="Ellington School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.4
,="Counselors  Social Workers  and School Psychologists",="Certified",13.5
,="General Education - Teachers and Instructors",="Certified",159.4
,="Special Education - Teachers and Instructors",="Certified",22.6
,="Library/Media - Specialists (Certified)",="Certified",3.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",7.0
,="Instructional Specialists Who Support Teachers",="Certified",9.5
="Elm City College Preparatory School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",33.0
,="Special Education - Teachers and Instructors",="Certified",0.8
="Enfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",28.4
,="Counselors  Social Workers  and School Psychologists",="Certified",29.8
,="General Education - Teachers and Instructors",="Certified",371.5
,="Special Education - Teachers and Instructors",="Certified",53.8
,="Library/Media - Specialists (Certified)",="Certified",3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",8.0
,="Instructional Specialists Who Support Teachers",="Certified",12.6
="Essex School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0
,="Counselors  Social Workers  and School Psychologists",="Certified",2.0
,="General Education - Teachers and Instructors",="Certified",34.1
,="Special Education - Teachers and Instructors",="Certified",10.0
,="Library/Media - Specialists (Certified)",="Certified",1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.8
,="Instructional Specialists Who Support Teachers",="Certified",5.1
="Explorations District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.9
,="Counselors  Social Workers  and School Psychologists",="Certified",0.2
,="General Education - Teachers and Instructors",="Certified",7.6
,="Special Education - Teachers and Instructors",="Certified",2.0
="Fairfield School District",="Administrators  Coordinators and Department Chairs - School Level",="Certified",39.8
,="Counselors  Social Workers  and School Psychologists",="Certified",64.0
,="General Education - Teachers and Instructors",="Certified",689.8
,="Special Education - Teachers and Instructors",="Certified",103.0
,="Library/Media - Specialists (Certified)",="Certified",19.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",14.0
