"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",372,368,98.9,368,14,3.8,12,3.3,44,12.0,171,46.5,127,34.5,298,81.0
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",165,162,98.2,162,"*","*","*","*",37,22.8,41,25.3,77,47.5,118,72.8
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",39,39,100.0,39,0,0.0,"*","*","*","*",20,51.3,9,23.1,29,74.4
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",61,61,100.0,61,"*","*","*","*","*","*",31,50.8,24,39.3,55,90.2
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""",129,129,100.0,129,0,0.0,6,4.7,14,10.9,62,48.1,47,36.4,109,84.5
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",116,116,100.0,116,"*","*","*","*",27,23.3,29,25.0,49,42.2,78,67.2
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",290,286,98.6,286,13,4.5,22,7.7,81,28.3,63,22.0,107,37.4,170,59.4
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",55,55,100.0,55,"*","*","*","*",7,12.7,22,40.0,24,43.6,46,83.6
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",70,70,100.0,70,"*","*","*","*","*","*",20,28.6,42,60.0,62,88.6
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""",64,64,100.0,64,0,0.0,"*","*","*","*",41,64.1,16,25.0,57,89.1
"Ridgefield School District","=""1180011""","Scotland Elementary School","=""1180511""",68,68,100.0,68,"*","*","*","*","*","*",20,29.4,41,60.3,61,89.7
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""",93,93,100.0,93,"*","*","*","*",10,10.8,50,53.8,27,29.0,77,82.8
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""",62,62,100.0,62,"*","*","*","*",6,9.7,20,32.3,33,53.2,53,85.5
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""",239,238,99.6,238,"*","*","*","*",18,7.6,128,53.8,82,34.5,210,88.2
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""",173,173,100.0,173,"*","*","*","*",14,8.1,80,46.2,73,42.2,153,88.4
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",425,403,94.8,403,0,0.0,10,2.5,64,15.9,102,25.3,227,56.3,329,81.6
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",75,74,98.7,74,"*","*","*","*",11,14.9,33,44.6,26,35.1,59,79.7
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",69,69,100.0,69,0,0.0,"*","*","*","*",26,37.7,33,47.8,59,85.5
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",239,238,99.6,238,9,3.8,12,5.0,36,15.1,105,44.1,76,31.9,181,76.1
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",177,176,99.4,176,13,7.4,10,5.7,53,30.1,35,19.9,65,36.9,100,56.8
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",91,91,100.0,91,"*","*","*","*",12,13.2,44,48.4,28,30.8,72,79.1
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",51,51,100.0,51,"*","*","*","*","*","*",28,54.9,16,31.4,44,86.3
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","Bungay School","=""1240111""",79,79,100.0,79,"*","*","*","*",14,17.7,37,46.8,13,16.5,50,63.3
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",95,95,100.0,95,"*","*","*","*",24,25.3,41,43.2,18,18.9,59,62.1
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",189,188,99.5,188,20,10.6,21,11.2,37,19.7,90,47.9,20,10.6,110,58.5
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",155,152,98.1,152,16,10.5,14,9.2,55,36.2,37,24.3,30,19.7,67,44.1
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",36,34,94.4,34,0,0.0,"*","*",12,35.3,12,35.3,"*","*","*","*"
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",369,368,99.7,368,14,3.8,29,7.9,53,14.4,163,44.3,109,29.6,272,73.9
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",453,451,99.6,451,29,6.4,34,7.5,61,13.5,217,48.1,110,24.4,327,72.5
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",351,341,97.2,340,16,4.7,30,8.8,103,30.3,103,30.3,88,25.9,191,56.2
"Sherman School District","=""1270011""","Sherman School","=""1270111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Sherman School District","=""1270011""","Sherman School","=""1270111""",74,73,98.6,73,"*","*","*","*","*","*","*","*","*","*","*","*"
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",43,43,100.0,43,"*","*","*","*",16,37.2,18,41.9,"*","*","*","*"
"Simsbury School District","=""1280011""","Central School","=""1280111""",57,57,100.0,57,"*","*","*","*","*","*",35,61.4,16,28.1,51,89.5
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",36,36,100.0,36,0,0.0,0,0.0,"*","*","*","*",23,63.9,"*","*"
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",47,47,100.0,47,"*","*","*","*","*","*",23,48.9,17,36.2,40,85.1
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",63,61,96.8,61,"*","*","*","*",9,14.8,27,44.3,21,34.4,48,78.7
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",88,88,100.0,88,"*","*","*","*","*","*",40,45.5,40,45.5,80,90.9
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",358,355,99.2,355,17,4.8,9,2.5,26,7.3,171,48.2,132,37.2,303,85.4
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",330,328,99.4,327,"*","*","*","*",38,11.6,61,18.7,216,66.1,277,84.7
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",103,102,99.0,102,0,0.0,"*","*","*","*",44,43.1,44,43.1,88,86.3
"Somers School District","=""1290011""","Aspire","=""1290511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",115,114,99.1,114,"*","*","*","*",20,17.5,59,51.8,24,21.1,83,72.8
"Somers School District","=""1290011""","Somers High School","=""1296111""",116,116,100.0,116,"*","*","*","*",34,29.3,18,15.5,53,45.7,71,61.2
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",76,74,97.4,74,0,0.0,"*","*",10,13.5,36,48.6,26,35.1,62,83.8
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",76,76,100.0,76,"*","*","*","*",13,17.1,32,42.1,27,35.5,59,77.6
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",47,46,97.9,46,"*","*","*","*","*","*",25,54.3,13,28.3,38,82.6
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",60,59,98.3,59,"*","*","*","*",9,15.3,25,42.4,22,37.3,47,79.7
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",61,61,100.0,61,"*","*","*","*",7,11.5,33,54.1,16,26.2,49,80.3
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",343,342,99.7,342,10,2.9,19,5.6,35,10.2,170,49.7,108,31.6,278,81.3
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",328,324,98.8,324,"*","*","*","*",52,16.0,69,21.3,185,57.1,254,78.4
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",303,302,99.7,302,18,6.0,10,3.3,38,12.6,193,63.9,43,14.2,236,78.1
"Southington School District","=""1310011""","Alta","=""1310111""",12,11,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",70,70,100.0,70,"*","*","*","*",9,12.9,40,57.1,17,24.3,57,81.4
"Southington School District","=""1310011""","Language Based Classroom","=""1310411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",49,49,100.0,49,"*","*","*","*",7,14.3,24,49.0,13,26.5,37,75.5
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",41,41,100.0,41,"*","*","*","*",11,26.8,23,56.1,"*","*","*","*"
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",57,56,98.2,56,0,0.0,"*","*","*","*",31,55.4,17,30.4,48,85.7
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",86,86,100.0,86,"*","*","*","*",13,15.1,47,54.7,15,17.4,62,72.1
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",54,53,98.1,53,"*","*","*","*","*","*",22,41.5,22,41.5,44,83.0
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",67,66,98.5,66,"*","*","*","*",8,12.1,39,59.1,14,21.2,53,80.3
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",121,120,99.2,120,8,6.7,8,6.7,11,9.2,54,45.0,39,32.5,93,77.5
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",250,249,99.6,249,16,6.4,18,7.2,44,17.7,134,53.8,37,14.9,171,68.7
"Southington School District","=""1310011""","Southington High School","=""1316211""",520,511,98.3,511,12,2.3,37,7.2,123,24.1,123,24.1,216,42.3,339,66.3
"Sprague School District","=""1330011""","Sayles School","=""1330111""",77,77,100.0,77,"*","*","*","*",12,15.6,39,50.6,20,26.0,59,76.6
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",112,112,100.0,112,"*","*","*","*",26,23.2,60,53.6,12,10.7,72,64.3
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",114,114,100.0,114,"*","*","*","*",20,17.5,58,50.9,29,25.4,87,76.3
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",89,85,95.5,85,"*","*","*","*",24,28.2,19,22.4,35,41.2,54,63.5
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",44,39,88.6,39,25,64.1,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",18,14,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""",61,61,100.0,61,"*","*",14,23.0,15,24.6,21,34.4,"*","*","*","*"
"Stamford School District","=""1350011""","Newfield School","=""1350611""",79,79,100.0,79,"*","*","*","*",17,21.5,27,34.2,19,24.1,46,58.2
"Stamford School District","=""1350011""","Rogers International School","=""1350811""",173,173,100.0,173,18,10.4,13,7.5,26,15.0,86,49.7,30,17.3,116,67.1
"Stamford School District","=""1350011""","Roxbury School","=""1350911""",98,98,100.0,98,10,10.2,18,18.4,28,28.6,33,33.7,9,9.2,42,42.9
"Stamford School District","=""1350011""","Springdale School","=""1351111""",90,89,98.9,89,12,13.5,8,9.0,27,30.3,35,39.3,7,7.9,42,47.2
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""",77,77,100.0,77,9,11.7,11,14.3,21,27.3,28,36.4,8,10.4,36,46.8
"Stamford School District","=""1350011""","Westover School","=""1351411""",97,97,100.0,97,12,12.4,13,13.4,26,26.8,33,34.0,13,13.4,46,47.4
"Stamford School District","=""1350011""","Northeast School","=""1351811""",112,111,99.1,111,18,16.2,12,10.8,29,26.1,41,36.9,11,9.9,52,46.8
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""",90,89,98.9,89,13,14.6,9,10.1,23,25.8,28,31.5,16,18.0,44,49.4
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""",94,94,100.0,94,6,6.4,16,17.0,21,22.3,33,35.1,18,19.1,51,54.3
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""",84,84,100.0,84,6,7.1,8,9.5,22,26.2,33,39.3,15,17.9,48,57.1
"Stamford School District","=""1350011""","Hart School","=""1352211""",93,93,100.0,93,9,9.7,7,7.5,15,16.1,31,33.3,31,33.3,62,66.7
"Stamford School District","=""1350011""","Dolan School","=""1355311""",181,177,97.8,177,31,17.5,16,9.0,26,14.7,77,43.5,27,15.3,104,58.8
"Stamford School District","=""1350011""","Turn of River School","=""1355511""",202,202,100.0,202,62,30.7,15,7.4,31,15.3,78,38.6,16,7.9,94,46.5
"Stamford School District","=""1350011""","Cloonan School","=""1355611""",181,177,97.8,177,36,20.3,15,8.5,33,18.6,70,39.5,23,13.0,93,52.5
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""",246,244,99.2,244,16,6.6,20,8.2,37,15.2,115,47.1,56,23.0,171,70.1
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""",306,301,98.4,301,55,18.3,37,12.3,60,19.9,121,40.2,28,9.3,149,49.5
"Stamford School District","=""1350011""","Stamford High School","=""1356111""",416,406,97.6,406,94,23.2,75,18.5,140,34.5,54,13.3,43,10.6,97,23.9
"Stamford School District","=""1350011""","Westhill High School","=""1356311""",512,494,96.5,492,112,22.8,83,16.9,133,27.0,81,16.5,83,16.9,164,33.3
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""",161,158,98.1,157,15,9.6,19,12.1,51,32.5,30,19.1,42,26.8,72,45.9
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""",105,104,99.0,104,15,14.4,10,9.6,28,26.9,43,41.3,8,7.7,51,49.0
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""",133,133,100.0,133,6,4.5,10,7.5,24,18.0,64,48.1,29,21.8,93,69.9
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""",198,195,98.5,195,"*","*","*","*",19,9.7,95,48.7,71,36.4,166,85.1
"Stonington School District","=""1370011""","Stonington High School","=""1376111""",180,179,99.4,179,"*","*","*","*",55,30.7,48,26.8,59,33.0,107,59.8
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""",66,65,98.5,65,"*","*",8,12.3,10,15.4,37,56.9,9,13.8,46,70.8
"Stratford School District","=""1380011""","Chapel School","=""1380311""",81,80,98.8,80,"*","*",13,16.3,17,21.3,33,41.3,"*","*","*","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""",31,31,100.0,31,"*","*","*","*",9,29.0,12,38.7,"*","*","*","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""",12,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""",33,33,100.0,33,"*","*",10,30.3,"*","*",10,30.3,0,0.0,10,30.3
"Stratford School District","=""1380011""","Nichols School","=""1380911""",70,70,100.0,70,"*","*",13,18.6,15,21.4,29,41.4,"*","*","*","*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""",86,84,97.7,84,"*","*",15,17.9,21,25.0,35,41.7,"*","*","*","*"
"Stratford School District","=""1380011""","Johnson House STEPS 3-6","=""1381211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""",43,43,100.0,43,"*","*",8,18.6,"*","*",18,41.9,8,18.6,26,60.5
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""",103,102,99.0,102,6,5.9,7,6.9,20,19.6,46,45.1,23,22.5,69,67.6
"Stratford School District","=""1380011""","Middle School STEPS 7-8","=""1381911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""",268,267,99.6,267,26,9.7,29,10.9,54,20.2,122,45.7,36,13.5,158,59.2
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""",267,265,99.3,265,51,19.2,37,14.0,61,23.0,103,38.9,13,4.9,116,43.8
"Stratford School District","=""1380011""","Stratford High School","=""1386111""",238,233,97.9,233,26,11.2,30,12.9,89,38.2,53,22.7,35,15.0,88,37.8
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""",262,253,96.6,252,9,3.6,35,13.9,98,38.9,60,23.8,50,19.8,110,43.7
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""",145,143,98.6,143,"*","*","*","*",30,21.0,68,47.6,28,19.6,96,67.1
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""",183,182,99.5,182,11,6.0,10,5.5,25,13.7,94,51.6,42,23.1,136,74.7
"Suffield School District","=""1390011""","Suffield High School","=""1396111""",202,197,97.5,197,"*","*","*","*",43,21.8,47,23.9,95,48.2,142,72.1
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",94,94,100.0,94,32,34.0,27,28.7,23,24.5,12,12.8,0,0.0,12,12.8
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",170,169,99.4,169,25,14.8,28,16.6,46,27.2,50,29.6,20,11.8,70,41.4
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""",74,74,100.0,74,"*","*","*","*",9,12.2,40,54.1,17,23.0,57,77.0
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""",127,127,100.0,127,"*","*","*","*",37,29.1,50,39.4,19,15.0,69,54.3
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""",165,165,100.0,165,12,7.3,19,11.5,38,23.0,77,46.7,19,11.5,96,58.2
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""",71,68,95.8,68,13,19.1,"*","*",32,47.1,10,14.7,"*","*","*","*"
"Tolland School District","=""1420011""","Tolland Intermediate School","=""1420211""",182,182,100.0,182,"*","*","*","*",19,10.4,95,52.2,61,33.5,156,85.7
"Tolland School District","=""1420011""","Tolland Middle School","=""1425111""",236,236,100.0,236,9,3.8,7,3.0,22,9.3,144,61.0,54,22.9,198,83.9
"Tolland School District","=""1420011""","Tolland High School","=""1426111""",214,214,100.0,214,6,2.8,11,5.1,44,20.6,64,29.9,89,41.6,153,71.5
"Torrington School District","=""1430011""","East School","=""1430111""",57,55,96.5,55,0,0.0,"*","*","*","*",26,47.3,18,32.7,44,80.0
"Torrington School District","=""1430011""","Forbes School","=""1430211""",67,67,100.0,67,"*","*","*","*",8,11.9,39,58.2,13,19.4,52,77.6
"Torrington School District","=""1430011""","Southwest School","=""1430811""",39,39,100.0,39,"*","*",6,15.4,"*","*",21,53.8,8,20.5,29,74.4
"Torrington School District","=""1430011""","Torringford School","=""1430911""",128,127,99.2,127,8,6.3,15,11.8,34,26.8,60,47.2,10,7.9,70,55.1
"Torrington School District","=""1430011""","Vogel-Wetmore School","=""1431311""",66,66,100.0,66,7,10.6,10,15.2,15,22.7,27,40.9,7,10.6,34,51.5
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","Torrington Middle School","=""1435111""",330,325,98.5,325,39,12.0,36,11.1,61,18.8,166,51.1,23,7.1,189,58.2
"Torrington School District","=""1430011""","Torrington High School","=""1436111""",252,226,89.7,225,32,14.2,44,19.6,80,35.6,37,16.4,32,14.2,69,30.7
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",41,36,87.8,36,17,47.2,11,30.6,"*","*","*","*",0,0.0,"*","*"
"Trumbull School District","=""1440011""","Booth Hill School","=""1440111""",89,89,100.0,89,"*","*","*","*",6,6.7,42,47.2,38,42.7,80,89.9
"Trumbull School District","=""1440011""","Middlebrook School","=""1440311""",97,97,100.0,97,"*","*","*","*",13,13.4,40,41.2,37,38.1,77,79.4
"Trumbull School District","=""1440011""","Jane Ryan School","=""1440411""",68,68,100.0,68,"*","*","*","*","*","*",26,38.2,34,50.0,60,88.2
"Trumbull School District","=""1440011""","REACH","=""1440511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Daniels Farm School","=""1440811""",82,82,100.0,82,0,0.0,"*","*","*","*",23,28.0,51,62.2,74,90.2
"Trumbull School District","=""1440011""","Tashua School","=""1440911""",65,65,100.0,65,"*","*","*","*",7,10.8,26,40.0,25,38.5,51,78.5
"Trumbull School District","=""1440011""","Frenchtown Elementary School","=""1441011""",95,95,100.0,95,"*","*","*","*",7,7.4,48,50.5,35,36.8,83,87.4
"Trumbull School District","=""1440011""","Madison Middle School","=""1445111""",224,221,98.7,221,6,2.7,9,4.1,38,17.2,97,43.9,71,32.1,168,76.0
"Trumbull School District","=""1440011""","Hillcrest Middle School","=""1445211""",235,234,99.6,234,10,4.3,8,3.4,27,11.5,118,50.4,71,30.3,189,80.8
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""",556,549,98.7,549,8,1.5,14,2.6,107,19.5,122,22.2,298,54.3,420,76.5
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""",22,21,95.5,20,11,55.0,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Union School District","=""1450011""","Union Elementary School","=""1450111""",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Northeast School","=""1460311""",41,41,100.0,41,"*","*","*","*",7,17.1,18,43.9,7,17.1,25,61.0
"Vernon School District","=""1460011""","Lake Street School","=""1460111""",33,33,100.0,33,"*","*","*","*",6,18.2,17,51.5,6,18.2,23,69.7
"Vernon School District","=""1460011""","Maple Street School","=""1460211""",31,31,100.0,31,"*","*","*","*",14,45.2,11,35.5,"*","*","*","*"
"Vernon School District","=""1460011""","Loveland Hill School","=""1460511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Skinner Road School","=""1461011""",45,45,100.0,45,"*","*",9,20.0,11,24.4,16,35.6,"*","*","*","*"
"Vernon School District","=""1460011""","Center Road School","=""1461411""",85,85,100.0,85,6,7.1,15,17.6,23,27.1,33,38.8,8,9.4,41,48.2
"Vernon School District","=""1460011""","Vernon Center Middle School","=""1465111""",203,202,99.5,202,29,14.4,32,15.8,31,15.3,99,49.0,11,5.4,110,54.5
"Vernon School District","=""1460011""","Rockville High School","=""1466111""",199,196,98.5,195,22,11.3,38,19.5,66,33.8,35,17.9,34,17.4,69,35.4
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Voluntown School District","=""1470011""","Voluntown Elementary School","=""1470111""",61,61,100.0,61,"*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""",96,96,100.0,96,6,6.3,13,13.5,16,16.7,48,50.0,13,13.5,61,63.5
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""",108,107,99.1,107,6,5.6,11,10.3,24,22.4,53,49.5,13,12.1,66,61.7
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""",120,120,100.0,120,"*","*","*","*",23,19.2,56,46.7,34,28.3,90,75.0
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""",124,124,100.0,124,"*","*","*","*",23,18.5,62,50.0,26,21.0,88,71.0
"Wallingford School District","=""1480011""","Dag Hammarskjold Middle School","=""1485211""",234,233,99.6,233,11,4.7,10,4.3,36,15.5,116,49.8,60,25.8,176,75.5
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""",237,232,97.9,232,15,6.5,11,4.7,44,19.0,123,53.0,39,16.8,162,69.8
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""",267,264,98.9,264,7,2.7,15,5.7,99,37.5,74,28.0,69,26.1,143,54.2
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""",194,193,99.5,193,11,5.7,20,10.4,60,31.1,52,26.9,50,25.9,102,52.8
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Hartford Detention Center","=""3480315""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""",328,326,99.4,326,123,37.7,52,16.0,67,20.6,79,24.2,"*","*","*","*"
"Waterbury School District","=""1510011""","Washington School","=""1512311""",44,44,100.0,44,9,20.5,15,34.1,11,25.0,9,20.5,0,0.0,9,20.5
"Waterbury School District","=""1510011""","Bunker Hill BDLC","=""1510111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","B.W. Tinker BDLC","=""1510411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""",52,52,100.0,52,21,40.4,15,28.8,9,17.3,7,13.5,0,0.0,7,13.5
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""",79,79,100.0,79,21,26.6,17,21.5,24,30.4,"*","*","*","*",17,21.5
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""",124,124,100.0,124,39,31.5,25,20.2,34,27.4,"*","*","*","*",26,21.0
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""",40,40,100.0,40,"*","*",9,22.5,8,20.0,15,37.5,"*","*","*","*"
"Waterbury School District","=""1510011""","Driggs School","=""1510911""",78,78,100.0,78,21,26.9,19,24.4,26,33.3,12,15.4,0,0.0,12,15.4
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""",75,75,100.0,74,"*","*",16,21.6,22,29.7,28,37.8,"*","*","*","*"
