"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",221,217,98.2,217,18,8.3,18,8.3,41,18.9,96,44.2,44,20.3,140,64.5
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",129,129,100.0,129,8,6.2,8,6.2,22,17.1,66,51.2,25,19.4,91,70.5
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",253,249,98.4,249,27,10.8,29,11.6,107,43.0,49,19.7,37,14.9,86,34.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",287,277,96.5,277,23,8.3,28,10.1,87,31.4,66,23.8,73,26.4,139,50.2
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",392,387,98.7,387,20,5.2,16,4.1,36,9.3,174,45.0,141,36.4,315,81.4
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",221,218,98.6,218,0,0.0,6,2.8,65,29.8,62,28.4,85,39.0,147,67.4
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",209,207,99.0,207,"*","*","*","*",27,13.0,110,53.1,54,26.1,164,79.2
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",20,20,100.0,20,0,0.0,"*","*","*","*",15,75.0,"*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",115,115,100.0,115,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",137,137,100.0,137,"*","*","*","*",12,8.8,56,40.9,55,40.1,111,81.0
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",140,140,100.0,140,"*","*","*","*",17,12.1,82,58.6,32,22.9,114,81.4
"Canton School District","=""0230011""","Canton High School","=""0236111""",126,122,96.8,122,"*","*","*","*",14,11.5,39,32.0,64,52.5,103,84.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",76,75,98.7,75,23,30.7,23,30.7,17,22.7,12,16.0,0,0.0,12,16.0
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",63,63,100.0,63,"*","*","*","*",16,25.4,23,36.5,13,20.6,36,57.1
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",57,56,98.2,56,"*","*",7,12.5,12,21.4,27,48.2,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",53,52,98.1,52,"*","*",13,25.0,12,23.1,15,28.8,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",59,59,100.0,59,"*","*","*","*",13,22.0,22,37.3,10,16.9,32,54.2
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",38,38,100.0,38,"*","*",7,18.4,9,23.7,13,34.2,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",43,41,95.3,41,0,0.0,"*","*",13,31.7,17,41.5,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",198,197,99.5,197,24,12.2,19,9.6,22,11.2,86,43.7,46,23.4,132,67.0
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",218,214,98.2,212,18,8.5,14,6.6,42,19.8,57,26.9,81,38.2,138,65.1
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",132,131,99.2,131,36,27.5,35,26.7,29,22.1,25,19.1,6,4.6,31,23.7
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",105,104,99.0,104,20,19.2,15,14.4,19,18.3,40,38.5,10,9.6,50,48.1
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",212,208,98.1,208,20,9.6,42,20.2,61,29.3,62,29.8,23,11.1,85,40.9
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",112,104,92.9,103,20,19.4,25,24.3,32,31.1,14,13.6,12,11.7,26,25.2
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",163,163,100.0,163,28,17.2,"*","*",62,38.0,42,25.8,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",103,100,97.1,99,20,20.2,19,19.2,33,33.3,16,16.2,11,11.1,27,27.3
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",20,16,80.0,15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",9,9,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
